970040019,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,110," Disapprove, not specified below",110,11,3,-2.0,2,1,2,-3.75375375375376,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,20210217030000,https://www.pressenza.com/2021/02/western-sahara-the-moroccan-monarchy-and-polisario-a-frozen-conflict/
970040020,20210217,202102,2021,2021.1288,MAR,MOROCCAN,MAR,,,,,,,,DZA,ALGERIAN,DZA,,,,,,,,1,020," Appeal, not specified below",020,02,1,3.0,5,1,5,-3.75375375375376,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,20210217030000,https://www.pressenza.com/2021/02/western-sahara-the-moroccan-monarchy-and-polisario-a-frozen-conflict/
970040021,20210217,202102,2021,2021.1288,MAR,MOROCCAN,MAR,,,,,,,,DZA,ALGERIAN,DZA,,,,,,,,1,172," Impose administrative sanctions, not specified below",172,17,4,-5.0,1,1,1,-3.75375375375376,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,20210217030000,https://www.pressenza.com/2021/02/western-sahara-the-moroccan-monarchy-and-polisario-a-frozen-conflict/
970040022,20210217,202102,2021,2021.1288,MAR,MOROCCAN,MAR,,,,,,,,DZA,ALGERIAN,DZA,,,,,,,,1,172," Impose administrative sanctions, not specified below",172,17,4,-5.0,4,1,4,-3.75375375375376,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,1,Algeria,AG,AG,,28.0,3.0,AG,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,20210217030000,https://www.pressenza.com/2021/02/western-sahara-the-moroccan-monarchy-and-polisario-a-frozen-conflict/
970040102,20210217,202102,2021,2021.1288,NGOHRIHRW,HUMAN RIGHTS WATCH,,HRW,,,,NGO,HRI,,NGOHRIAMN,AMNESTY INTERNATIONAL,,AMN,,,,NGO,HRI,,0,130," Threaten, not specified below",130,13,3,-4.4,10,1,10,-3.75375375375376,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,4,"Oujda, Oriental, Morocco",MO,MO54,147354,34.6805,-1.9076400000000002,-41360,20210217030000,https://www.pressenza.com/2021/02/western-sahara-the-moroccan-monarchy-and-polisario-a-frozen-conflict/
970056439,20210217,202102,2021,2021.1288,LBY,LIBYA,LBY,,,,,,,,,,,,,,,,,,0,040," Consult, not specified below",040,04,1,1.0,1,1,1,-3.5630567276136897,4,"Casablanca, Grand Casablanca, Morocco",MO,MO45,147343,33.59,-7.61,-28159,0,,,,,,,,4,"Casablanca, Grand Casablanca, Morocco",MO,MO45,147343,33.59,-7.61,-28159,20210217054500,https://www.telegraph.co.uk/news/2021/02/17/grim-legacy-libyas-revolution-ten-years/
970063778,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,,,,,,,,,,,0,010," Make statement, not specified below",010,01,1,0.0,2,1,2,2.69058295964126,4,"Casablanca, Grand Casablanca, Morocco",MO,MO45,147343,33.59,-7.61,-28159,0,,,,,,,,4,"Casablanca, Grand Casablanca, Morocco",MO,MO45,147343,33.59,-7.61,-28159,20210217070000,https://www.broadcastprome.com/news/aeta-helps-moroccos-map-cover-the-news/
970063779,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,,,,,,,,,,,1,040," Consult, not specified below",040,04,1,1.0,10,1,10,0.0,1,Morocco,MO,MO,,32.0,-5.0,MO,0,,,,,,,,1,Morocco,MO,MO,,32.0,-5.0,MO,20210217070000,"https://www.africaintelligence.com/north-africa_business/2021/02/17/laayoune-looks-for-more-consultants-to-oversee-its-e46bn-regional-development-programme,109644176-ar1"
970063780,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,,,,,,,,,,,0,090," Investigate, not specified below",090,09,2,-2.0,2,1,2,2.69058295964126,4,"Casablanca, Grand Casablanca, Morocco",MO,MO45,147343,33.59,-7.61,-28159,0,,,,,,,,4,"Casablanca, Grand Casablanca, Morocco",MO,MO45,147343,33.59,-7.61,-28159,20210217070000,https://www.broadcastprome.com/news/aeta-helps-moroccos-map-cover-the-news/
970063783,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,BHR,BAHRAIN,BHR,,,,,,,,1,051, Praise or endorse,051,05,1,3.4,3,1,3,-1.94690265486726,1,Morocco,MO,MO,,32.0,-5.0,MO,1,Bahrain,BA,BA,,26.0,50.5,BA,1,Bahrain,BA,BA,,26.0,50.5,BA,20210217070000,https://www.iol.co.za/news/opinion/iqbal-surve-greater-co-operation-with-brics-countries-will-help-sa-navigate-covid-19-storm-9a1d8033-6075-4c5a-ba01-6d9097a8d66a
